"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"120","LairHill",-122.6867,45.49509,"outside","afternoon",216.358421052632,315.974210526316,333.051052631579,-49,76.1111111111111,21,210.214736842105,0.04,869.047,NA
"121","LairHill",-122.6867,45.49509,"outside","morning",57.9043333333333,143.601666666667,181.395,-56.2,71.1333333333333,19.8,101.48,0.04,870.562,NA
"122","Lake Road",-122.6259,45.43145,"outside","afternoon",132.395,195.529310344828,207.944137931034,-54.1379310344828,80.3793103448276,18.7931034482759,130.444655172414,0.06,861.503793103448,NA
"123","Lake Road",-122.6259,45.43145,"outside","morning",124.169375,224.3171875,248.8378125,-59.25,72.75,17,149.84125,0.062,870.28125,NA
"124","Langworthy Terrace 878ft",-122.7806,45.54968,"outside","afternoon",7.27933703703704,11.9291518518519,13.5217148148148,-70.1222222222222,74.2696296296296,42.2792592592593,11.7832037037037,0.0591925925925926,988.669940740741,NA
"125","Langworthy Terrace 878ft",-122.7806,45.54968,"outside","morning",7.42428518518518,12.8504592592593,14.8782222222222,-68.7651851851852,60.7007407407407,65.6955555555556,12.7665222222222,0.06,988.760674074074,NA
"126","Langworthy Terrace 878ft",-122.7806,45.54968,"outside","night",8.15218969988885,13.7222526861801,15.9052093367914,-69.3476649369904,64.2349888806523,56.8072646404744,13.2999073731011,0.06,988.49062962963,NA
"127","Lewis & Clark College",-122.6726,45.45192,"outside","afternoon",8.10758978156238,12.0035690485006,12.9628693076638,-52.9356032568468,72.2568467801628,48.180606957809,11.7232617549056,0.02,1004.13704444444,NA
"128","Lewis & Clark College",-122.6726,45.45192,"outside","morning",8.49419821826281,13.4953563474388,14.8137082405345,-52.8181143281366,64.2449888641425,59.8203414996288,13.3765256124722,0.02,1004.36907943578,NA
"129","Lewis & Clark College",-122.6726,45.45192,"outside","night",8.56706711160549,12.627319243604,13.6651464590286,-52.4814540059347,67.6045994065282,53.1624629080119,12.3555691509084,0.02,1004.038102298,NA
"130","Lighthouse",-122.6695,45.5654,"outside","afternoon",9.34959259259259,13.3944814814815,14.5485259259259,-74.7985185185185,75.3666666666667,42.0074074074074,13.0030666666667,0,1012.40925185185,NA
"131","Lighthouse",-122.6695,45.5654,"outside","morning",10.6760111111111,16.3031925925926,18.3685962962963,-75.497037037037,63.502962962963,62.7481481481481,15.8426888888889,0,1012.86817037037,NA
"132","Lighthouse",-122.6695,45.5654,"outside","night",10.9166481481481,15.4987,17.1690444444444,-75.4125925925926,64.2392592592593,58.9955555555556,15.0835777777778,0,1012.35032592593,NA
"133","LO FH indoor",-122.6759,45.42911,"inside","afternoon",0.147636566332218,0.322683017465626,0.4505834262356,-46.6790490341753,79.1575037147103,46.0839524517088,0.322683017465626,0.02,1012.16918215613,NA
"134","LO FH indoor",-122.6759,45.42911,"inside","morning",0.419776286353468,0.688348247576436,0.789313944817301,-47.3432835820896,77.0059701492537,46.8358208955224,0.688340790454884,0.02,1012.60797317437,NA
"135","LO FH indoor",-122.6759,45.42911,"inside","night",0.64958751393534,0.997276105536975,1.1026867335563,-46.9041604754829,78.4903417533432,47.3662704309064,0.997276105536975,0.02,1012.18191821561,NA
"136","Marion Court Apartments",-122.6302,45.51187,"outside","afternoon",19.128826754386,26.4342214912281,28.1155263157895,-70.6271929824561,74.4824561403509,50.9517543859649,25.1255153508772,0,1015.52701754386,NA
